open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
45.85,45.85,44.95,45.09,4094800.0,002929.SZ,20251016,润建股份,NA,CNY
45.48,45.8,44.73,45.13,7729000.0,002929.SZ,20251017,润建股份,NA,CNY
45.45,45.58,44.95,45.12,4701500.0,002929.SZ,20251020,润建股份,NA,CNY
45.05,45.42,44.86,45.42,5070600.0,002929.SZ,20251021,润建股份,NA,CNY
45.27,45.77,44.98,45.17,3956400.0,002929.SZ,20251022,润建股份,NA,CNY
45.05,45.07,43.85,44.55,5281600.0,002929.SZ,20251023,润建股份,NA,CNY
44.56,44.92,44.16,44.29,7117600.0,002929.SZ,20251024,润建股份,NA,CNY
44.55,45.01,44.53,44.6,5676100.0,002929.SZ,20251027,润建股份,NA,CNY
44.61,44.93,44.18,44.44,5002400.0,002929.SZ,20251028,润建股份,NA,CNY
44.58,45.27,44.3,45.14,5883900.0,002929.SZ,20251029,润建股份,NA,CNY
44.69,44.69,43.61,43.61,8762900.0,002929.SZ,20251030,润建股份,NA,CNY
43.22,44.07,43.13,43.92,4177200.0,002929.SZ,20251031,润建股份,NA,CNY
43.75,44.38,43.5,44.36,4716100.0,002929.SZ,20251103,润建股份,NA,CNY
44.14,44.31,43.15,43.43,4255900.0,002929.SZ,20251104,润建股份,NA,CNY
42.95,43.27,42.17,43.05,4920600.0,002929.SZ,20251105,润建股份,NA,CNY
43.06,43.5,43.05,43.37,3225000.0,002929.SZ,20251106,润建股份,NA,CNY
43.15,43.95,42.65,42.65,4633700.0,002929.SZ,20251107,润建股份,NA,CNY
42.68,42.84,42.07,42.18,4235400.0,002929.SZ,20251110,润建股份,NA,CNY
42.19,42.37,41.24,41.45,5135100.0,002929.SZ,20251111,润建股份,NA,CNY
41.25,41.3,40.4,40.69,4371400.0,002929.SZ,20251112,润建股份,NA,CNY
40.69,43.45,40.35,42.9,8449800.0,002929.SZ,20251113,润建股份,NA,CNY
42.48,42.55,41.45,41.45,6394200.0,002929.SZ,20251114,润建股份,NA,CNY
41.2,42.31,40.96,41.83,4465500.0,002929.SZ,20251117,润建股份,NA,CNY
41.81,43.25,41.5,42.59,7550200.0,002929.SZ,20251118,润建股份,NA,CNY
43.03,43.28,41.45,41.58,4980000.0,002929.SZ,20251119,润建股份,NA,CNY
41.74,41.94,40.9,41.21,3896200.0,002929.SZ,20251120,润建股份,NA,CNY
40.71,41.2,39.83,39.85,4954000.0,002929.SZ,20251121,润建股份,NA,CNY
40.23,41.83,39.37,41.62,8122300.0,002929.SZ,20251124,润建股份,NA,CNY
41.56,42.85,41.55,42.23,7147200.0,002929.SZ,20251125,润建股份,NA,CNY
43.45,43.79,42.52,42.56,11309500.0,002929.SZ,20251126,润建股份,NA,CNY
41.95,42.36,41.56,41.61,5414100.0,002929.SZ,20251127,润建股份,NA,CNY
41.46,41.95,41.15,41.38,3645800.0,002929.SZ,20251128,润建股份,NA,CNY
41.39,41.78,40.86,41.53,3685400.0,002929.SZ,20251201,润建股份,NA,CNY
41.73,41.73,40.86,40.96,2975400.0,002929.SZ,20251202,润建股份,NA,CNY
40.9,40.9,40.02,40.16,3790200.0,002929.SZ,20251203,润建股份,NA,CNY
40.16,40.2,39.54,39.96,2590600.0,002929.SZ,20251204,润建股份,NA,CNY
39.9,40.33,39.59,40.28,2847100.0,002929.SZ,20251205,润建股份,NA,CNY
40.35,40.86,40.3,40.55,3319300.0,002929.SZ,20251208,润建股份,NA,CNY
41.76,42.23,40.6,40.74,5862900.0,002929.SZ,20251209,润建股份,NA,CNY
40.38,40.87,40.03,40.84,3522800.0,002929.SZ,20251210,润建股份,NA,CNY
40.73,40.87,39.85,39.89,3760600.0,002929.SZ,20251211,润建股份,NA,CNY
39.79,40.29,39.58,39.99,2621800.0,002929.SZ,20251212,润建股份,NA,CNY
39.85,39.87,39.19,39.29,3288500.0,002929.SZ,20251215,润建股份,NA,CNY
39.28,39.28,38.16,38.36,3329800.0,002929.SZ,20251216,润建股份,NA,CNY
38.36,38.91,37.97,38.7,2726700.0,002929.SZ,20251217,润建股份,NA,CNY
38.46,39.0,38.23,38.23,2482200.0,002929.SZ,20251218,润建股份,NA,CNY
38.25,38.79,38.25,38.49,2392000.0,002929.SZ,20251219,润建股份,NA,CNY
