open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
28.09,28.28,27.69,27.79,8349900.0,300735.SZ,20251022,光弘科技,NA,CNY
27.79,27.98,27.3,27.92,7649700.0,300735.SZ,20251023,光弘科技,NA,CNY
28.06,28.51,27.93,28.29,9307700.0,300735.SZ,20251024,光弘科技,NA,CNY
28.55,29.24,28.38,29.0,15547700.0,300735.SZ,20251027,光弘科技,NA,CNY
28.8,29.12,28.6,28.85,10529500.0,300735.SZ,20251028,光弘科技,NA,CNY
29.56,29.76,28.98,29.1,18113100.0,300735.SZ,20251029,光弘科技,NA,CNY
29.1,29.63,28.78,28.92,14287700.0,300735.SZ,20251030,光弘科技,NA,CNY
28.92,30.95,28.83,30.49,34090200.0,300735.SZ,20251031,光弘科技,NA,CNY
31.16,31.23,30.33,30.81,29688400.0,300735.SZ,20251103,光弘科技,NA,CNY
30.37,31.34,30.37,30.72,19543700.0,300735.SZ,20251104,光弘科技,NA,CNY
30.16,31.0,28.26,28.27,48416500.0,300735.SZ,20251105,光弘科技,NA,CNY
28.23,28.46,27.45,28.17,29750700.0,300735.SZ,20251106,光弘科技,NA,CNY
28.09,28.95,27.69,28.07,19142100.0,300735.SZ,20251107,光弘科技,NA,CNY
28.23,29.25,28.1,28.57,20992900.0,300735.SZ,20251110,光弘科技,NA,CNY
28.76,28.81,27.39,27.41,18726800.0,300735.SZ,20251111,光弘科技,NA,CNY
27.34,27.79,26.91,27.64,12790500.0,300735.SZ,20251112,光弘科技,NA,CNY
27.46,28.09,27.3,27.53,14306100.0,300735.SZ,20251113,光弘科技,NA,CNY
27.28,28.58,26.94,27.4,18814800.0,300735.SZ,20251114,光弘科技,NA,CNY
28.29,28.77,27.71,27.89,27096500.0,300735.SZ,20251117,光弘科技,NA,CNY
27.61,27.61,26.5,26.69,22870100.0,300735.SZ,20251118,光弘科技,NA,CNY
26.52,26.78,26.02,26.16,12552700.0,300735.SZ,20251119,光弘科技,NA,CNY
26.16,26.75,26.13,26.43,12247300.0,300735.SZ,20251120,光弘科技,NA,CNY
26.01,26.29,25.13,25.24,14246800.0,300735.SZ,20251121,光弘科技,NA,CNY
25.52,25.91,25.16,25.82,10010400.0,300735.SZ,20251124,光弘科技,NA,CNY
25.91,26.15,25.33,25.47,14072900.0,300735.SZ,20251125,光弘科技,NA,CNY
25.42,25.67,25.1,25.25,13124100.0,300735.SZ,20251126,光弘科技,NA,CNY
25.17,26.01,25.1,25.31,12824700.0,300735.SZ,20251127,光弘科技,NA,CNY
25.34,25.57,24.99,25.18,11438700.0,300735.SZ,20251128,光弘科技,NA,CNY
25.02,26.05,24.78,25.81,16066500.0,300735.SZ,20251201,光弘科技,NA,CNY
25.84,25.84,25.4,25.44,9062100.0,300735.SZ,20251202,光弘科技,NA,CNY
